nome,unidade negocios,cpf_cnpj,marcas,instagram,uf,cidade,regiao,telefone/email,pote de ouro,numero pedido,estagio funil
Paraíso da Moda,LBM,,Maria Gueixa,https://www.instagram.com/paraisodamodarosesilva/,PR - Paraná,Curitiba,Sul,41997488787,Sim,,Em Contato
Aninha Store,LBM/LM,,,https://www.instagram.com/storeaninha_/,SP - São Paulo,Osasco,Sudeste,11942962365,Sim,,Em Contato
Carolina Barra Boutique,LBM,,Dimy,https://www.instagram.com/carolinabarra.boutique/,RJ - Rio de Janeiro,Macae,Sudeste,22997381531,Sim,,Em Contato
Loft Conceito,LBM,,"Lança perfume, Myft, Dimy, Schutz, Ana Capri",https://www.instagram.com/loftconceito/,CE - Ceará,Juazeiro do Norte,Nordeste,88981404027,Sim,,Em Contato
F Sisters,LBM,,Lança perfume,https://www.instagram.com/fsisters/,RN - Rio Grande do Norte,Currais Novos,Nordeste,84996672211,Sim,,Em Contato
Vinculos Multimarcas,LBM,,"Lança perfume, Farm, Open, Osklen, Reserva, Vans, Lacoste",https://www.instagram.com/vinculos_loja/,ES - Espírito Santo,Iconha,Sudeste,28981112928,Sim,,Em Contato
Sabor da Moda,LBM,,"Lança perfume, Colcci, Farm, Schutz",https://www.instagram.com/sabordamodavv/,ES - Espírito Santo,Vila Valerio,Sudeste,27999420777,Sim,,Em Contato
Ariadine Santana Boutique,LBM,,,https://www.instagram.com/ariadinesantana29/,MS - Mato Grosso do Sul,Ponta Pora,Centro-Oeste,67998814945,Sim,,Em Contato
Floribella Multimarcas,LBM/LM,,"Lança perfume, Colcci, Sommer, Aramis, Ellus, Flor do Caribe",https://www.instagram.com/floribella_multimarcas/,PE - Pernambuco,Cabrobo,Nordeste,87981457053,Sim,,Em Contato
Bem Me Quer,LBM,,"Schutz, Morena Rosa, Lez a Lez, Arezzo",https://www.instagram.com/bemmequerespigao/,RO - Rondônia,Espigao Doeste,Norte,8191043865,Sim,,Em Contato
Loja Angel Multimarcas,LBM/LM,,"Lança perfume, Farm, Acostamento, Calvin Klein, Aramis, Ellus",https://www.instagram.com/lojaangel.multimarcas/,PE - Pernambuco,Escada,Nordeste,8135341364,Sim,,Em Contato
Ellegance,LBM,,"Lança perfume, Morena Rosa, DressTo, Oh Boy, Schutz, Cantão",https://www.instagram.com/lojasellegance/,PE - Pernambuco,Gravata,Nordeste,8199140978,Sim,,Em Contato
Dumont Figueiredo,LBM/LM,,"Lança perfume, Colcci, Ellus, Ogochi, Aramis",https://www.instagram.com/dumontfigueiredomodas/,PA - Pará,Sao Geraldo do Araguaia,Norte,9484456381,Sim,,Em Contato
Criativa Modas,LBM/LM,,"Lança perfume, Morena Rosa, Myft, Tommy, Calvin Klein, Lacoste",https://www.instagram.com/criativamarabaofc/,PA - Pará,Maraba,Norte,94991602284,Sim,,Em Contato
Base,LBM,,Lança perfume,https://www.instagram.com/basevirtual/,GO - Goiás,Catalao,Centro-Oeste,64981295846,Sim,,Em Contato
Wania Maia,LBM/LM,,"Lança perfume, Luzia Fazzolli, Carlota Costa",https://www.instagram.com/lancaperfume.waniamaia/,GO - Goiás,Minacu,Centro-Oeste,6285535764,Sim,,Em Contato
Mood Boutique,LBM,,"Lança perfume, Colcci, Acostamento, Myft, Tommy, Lacoste",https://www.instagram.com/moodboutiquerv/,GO - Goiás,Rio Verde,Centro-Oeste,64999015814,Sim,,Em Contato
Jess Boutique,LBM,,"Lança perfume, Myft, Mercatto, Dzarm",https://www.instagram.com/jessboutiqueoficial/,GO - Goiás,Rio Verde,Centro-Oeste,6421417079,Sim,,Em Contato
Marcy Boutique,LBM,,,https://www.instagram.com/marcyboutiqueptga/,MT - Mato Grosso,Paranatinga,Centro-Oeste,66997197674,Sim,,Em Contato
La Camisetaria,LBM/LM,,,https://www.instagram.com/la_camisetaria/,MT - Mato Grosso,Alta Floresta,Centro-Oeste,66996514613,Sim,,Em Contato
Gabriela Santos,LBM,,"Live, Vestem",https://www.instagram.com/gabrielasantos_mcp/,AP - Amapá,Santana,Norte,96991254849,Sim,,Em Contato
Closet da Renally,LBM,,"Lança perfume, Farm, Myft",https://www.instagram.com/closetdarenally/,PB - Paraíba,Itabaiana,Nordeste,83996069489,Sim,,Em Contato
Dona Morena,LBM,,"Lança perfume, Farm, Agua de Coco",https://www.instagram.com/donamorena_boutique/,PB - Paraíba,Pombal,Nordeste,83999991696,Sim,,Em Contato
Ellas Bellas Boutique,LBM/LM,,"Cavalera, Morena Rosa, Maria Valentina",https://www.instagram.com/ellasbellas_boutique/,RO - Rondônia,Porto Velho,Norte,6984851308,Sim,,Em Contato
Arara Masculina,LBM/LM,,,https://www.instagram.com/araramasculinaoficial/,GO - Goiás,Luziania,Centro-Oeste,61993048934,Sim,,Em Contato
Neide modas,LBM/LM,,"Farm, Arezzo, Ellus",https://www.instagram.com/neidemodas.bahia/,BA - Bahia,Euclides da cunha,Nordeste,75999444555,Sim,,Em Contato
Romário Multimarcas,LM,,"Acostamento, Lacoste, Tommy",https://www.instagram.com/romario.multimarcas30/,BA - Bahia,Ibipitanga,Nordeste,77991959286,Sim,,Em Contato
Mistura Feminina,LBM,,"Lança perfume, Myft, Slywear",https://www.instagram.com/misturafemininaoficial01/,BA - Bahia,Ubaitaba,Nordeste,73981076301,Sim,,Em Contato
Brihgyda Fashion Multimarcas,LBM/LM,,"Lança perfume, Colcci, Aramis",https://www.instagram.com/brihgydafashionmultimarcas/,BA - Bahia,Canavieiras,Nordeste,73999555999,Sim,,Em Contato
G Grifes Outlet,LM,,Cavalera,https://www.instagram.com/g_grifesoutlet/,SP - São Paulo,Dracena,Sudeste,18991527337,Sim,,Em Contato
Tok Special Store,LBM,,"Morena Rosa, Lança perfume, Myft, Amarante, Zinco",https://www.instagram.com/tokspecialstore/,PA - Pará,Ananindeua,Norte,91993928129,Sim,,Em Contato
New Styllus,LBM/LM,,"Morena Rosa, Colcci",https://www.instagram.com/lojanewstyllus/,TO - Tocantins,Augustinopolis,Centro-Oeste,63991266803,Sim,,Em Contato
Josy Multimarcas,LBM,,,https://www.instagram.com/josymodas/,SP - São Paulo,Sao Paulo,Sudeste,21996363637,Sim,,Em Contato
Super Bonita,LBM,,,https://www.instagram.com/superbonita.ac/,AC - Acre,Epitaciolandia,Norte,68992020704,Sim,,Em Contato
Lalu Modas,LBM/LM,,"Morena Rosa, Acostamento, Maria Valentina",https://www.instagram.com/modaslalu/,MT - Mato Grosso,Vera,Centro-Oeste,66999661859,Sim,,Em Contato
Mania.com,LBM/LM,,"Morena Rosa, Calvin Klein, Reserva, Ellus, Maria Valentina",https://www.instagram.com/mania.comoficial/,MT - Mato Grosso,Sorriso,Centro-Oeste,66999726808,Sim,,Em Contato
Loja Jaísa Sinop,LBM/LM,,Morena Rosa,https://www.instagram.com/lojajaisaoficial/,MT - Mato Grosso,Sinop,Centro-Oeste,66999961148,Sim,,Em Contato
Diferencce Modas,LBM,,"Morena Rosa, Ogochi, Maria Valentina",https://www.instagram.com/diferencce_modas/,MT - Mato Grosso,Nova Mutum,Centro-Oeste,65996047822,Sim,,Em Contato
Loja Jaisa,LBM/LM,,"Morena Rosa, Vestem",https://www.instagram.com/lojajaisalrvoficial/,MT - Mato Grosso,Lucas do Rio Verde,Centro-Oeste,65996913913,Sim,,Em Contato
Face a Face Boutique,LBM/LM,,"Morena Rosa, Colcci, Acostamento",https://www.instagram.com/faceafacejuina/,MT - Mato Grosso,Juina,Centro-Oeste,66984446904,Sim,,Em Contato
Imagem Modas,LBM/LM,,"Morena Rosa, Lança perfume",https://www.instagram.com/imagemmodas_/,MT - Mato Grosso,Diamantino,Centro-Oeste,65999877625,Sim,,Em Contato
Rosa Clara,LBM,,Morena Rosa,https://www.instagram.com/rosaclaraboutique/,MT - Mato Grosso,Cuiaba,Centro-Oeste,65981747852,Sim,,Em Contato
Rose Modas,LBM,,"Morena Rosa, Lança perfume, Calvin Klein, Schutz, Lez a Lez",https://www.instagram.com/rosemodasmt/,MT - Mato Grosso,Canarana,Centro-Oeste,66996367104,Sim,,Em Contato
Destak Magazine,LBM/LM,,"Lança perfume, Morena Rosa, Colcci",https://www.instagram.com/destaksonora/,MS - Mato Grosso do Sul,Sonora,Centro-Oeste,67984020203,Sim,,Em Contato
Geração 3,LBM,,Morena Rosa,https://www.instagram.com/geracao.3/,MS - Mato Grosso do Sul,Aquidauana,Centro-Oeste,67996999935,Sim,,Em Contato
Martina Valentina,LBM/LM,,"Lança perfume, Morena Rosa, John John, Tommy, Calvin Klein",https://www.instagram.com/lojamartinavalentina/,MS - Mato Grosso do Sul,Bonito,Centro-Oeste,67998280022,Sim,,Em Contato
Graffite,LBM,,,https://www.instagram.com/graffiteloja/,MS - Mato Grosso do Sul,Campo Grande,Centro-Oeste,67992574092,Sim,,Em Contato
Mon Amie,LBM,,,https://www.instagram.com/lojamonamie/,MS - Mato Grosso do Sul,Campo Grande,Centro-Oeste,67992475288,Sim,,Em Contato
Infinity Vip Outlet,LM,,"Nike, Lacoste, Titular",https://www.instagram.com/infinity.vip_outlet/,RJ - Rio de Janeiro,Rio de Janeiro,Sudeste,21970653537,Sim,,Em Contato
Maria Costa,LBM/LM,,"Lança perfume, Pitbull",https://www.instagram.com/mariacostaroupas/,RJ - Rio de Janeiro,Rio de Janeiro,Sudeste,21998954351,Sim,,Em Contato
MG Moda Fitness,LBM,,Lets Gym,https://www.instagram.com/mgmodafitnessaju/,SE - Sergipe,Aracaju,Nordeste,79996793024,Sim,,Em Contato
Zezé Estilo,LBM/LM,,"Santa Lolla, John John, Ogochi, Aramis, Dudalina, King&Joe",https://www.instagram.com/lojadazezeestilo/,CE - Ceará,Tiangua,Nordeste,88999565144,Sim,,Em Contato
Visual Fashion,LBM,,Lança perfume,https://www.instagram.com/visualfashion___/,CE - Ceará,Novo Oriente,Nordeste,88996685757,Sim,,Em Contato
Boutique Sanfrancisco,LBM/LM,,"Osklen, Farm, Open, Animale, Forum, Lacoste",https://www.instagram.com/lojasanfrancisco/,PE - Pernambuco,Petrolandia,Nordeste,87991064999,Sim,,Em Contato
JF Multimarcas,LM,,"Buh, Colcci, Cavalera",https://www.instagram.com/jeanfelipebdc/,RJ - Rio de Janeiro,Rio de Janeiro,Sudeste,21999068930,Sim,,Em Contato
Donna Fit Moda,LBM,,Let's Gym,https://www.instagram.com/donnafitmodapremium/,PR - Paraná,Curitiba,Sul,41985290136,Sim,,Em Contato
Lady Bi Calçados,LBM,,"Schutz, Vizzano",https://www.instagram.com/lady_bi_calcados/,PR - Paraná,Araucaria,Sul,41984900102,Sim,,Em Contato
Vanessa Modas,LBM,,,https://www.instagram.com/lojavanessa.modas/,PR - Paraná,Curitiba,Sul,41992356233,Sim,,Em Contato
Street Shop,LM,,"Nike, Volcom, Chronic",https://www.instagram.com/streetshop037/,MG - Minas Gerais,Arcos,Centro-Oeste,37998250818,Sim,,Em Contato
Gringa Closet,LBM,,Pimenta Doce,https://www.instagram.com/gringa_closet_oficial/,MG - Minas Gerais,Montes Claros,Sudeste,38992003708,Sim,,Em Contato
Time Store,LBM/LM,,Colcci,https://www.instagram.com/timestorefit/,SP - São Paulo,Penapolis,Sudeste,18996348365,Sim,,Em Contato
LBJK Store,LM,,,https://www.instagram.com/lbjkstore/,RS - Rio Grande do Sul,Caxias do Sul,Sul,54992216150,Sim,,Em Contato
Tropic,LBM,,"Farm, Morena Rosa, Oh Boy",https://www.instagram.com/tropicbrasiloficial/,BA - Bahia,Ilheus,Nordeste,73988781010,Sim,,Em Contato
Wedy Multimarcas,LBM,,"Sal e Pimenta, Pitbull, Pimenta Doce",https://www.instagram.com/wedy.multimarcas/,BA - Bahia,Salvador,Nordeste,71992339441,Sim,,Em Contato
Kesiaah Shoes,LBM,,,https://www.instagram.com/kesiaahshoes/,RJ - Rio de Janeiro,Duque de Caxias,Sudeste,21974649364,Sim,,Em Contato
Natyy Modas,LBM,,"Sal e Pimenta, Bubu",https://www.instagram.com/natyy_modass/,SP - São Paulo,Sao Paulo,Sudeste,11940505105,Sim,,Em Contato
Cravo e Canela,LBM/LM,,"Lança perfume, Calvin Klein",https://www.instagram.com/cravoecanelazeila/?hl=pt,TO - Tocantins,Gurupi,Centro-Oeste,6333123257,Sim,,Em Contato
Koisabella Boutique,LBM,,"Lança perfume, Myft",https://www.instagram.com/koisa.bella/,TO - Tocantins,Araguaina,Centro-Oeste,63992375584,Sim,,Em Contato
Joju Modas,LBM/LM,,"Lança perfume, Acostamento, Tommy",https://www.instagram.com/joju_modas/,TO - Tocantins,Araguaina,Centro-Oeste,63992014013,Sim,,Em Contato
Gala Modas,LBM/LM,,Colcci,https://www.instagram.com/galamodasloja/,PR - Paraná,Barracao,Sul,49991121204,Sim,,Em Contato
Fabiana Modas,LBM/LM,,"Farm, John John, Morena Rosa, Lacoste",https://www.instagram.com/fabianamodasoficial/,BA - Bahia,Conceicao do Coite,Nordeste,75991630972,Sim,,Em Contato
Loja Claúdia Alvarenga,LBM,,,https://www.instagram.com/claudiaalvarengamultimarcas/,GO - Goiás,Goiania,Centro-Oeste,62981976143,Sim,,Em Contato
RL Modas,LBM,,,https://www.instagram.com/rlmmodas/,MS - Mato Grosso do Sul,Campo Grande,Centro-Oeste,67992345911,Sim,,Em Contato
Ariany Mulitimarcas,LBM,,Bubu,https://www.instagram.com/arymultimarcas/,SP - São Paulo,Ribeirao Preto,Sudeste,16988087375,Sim,,Em Contato
Francieli Novelli,LBM,,"Lança perfume, Morena Rosa, Schutz",https://www.instagram.com/francielinovelli/?hl=pt,ES - Espírito Santo,Santa Teresa,Sudeste,27998968437,Sim,,Em Contato
Castro Imports,LM,,"Hugo Boss, Armani, Lacoste",https://www.instagram.com/castro_imports_/,RS - Rio Grande do Sul,Cachoeirinha,Sul,51994399902,Sim,,Em Contato
Loja Recanto,LBM/LM,,"Farm, John John, Schutz, Maria Filó, Open, My Place",https://www.instagram.com/lojarecantoo/,RS - Rio Grande do Sul,Sao Jose do Norte,Sul,53999493927,Sim,,Em Contato
Dalma Assis Store,LBM,,"Lança perfume, Myft, Farm, Gatabakana",https://www.instagram.com/dalmaassisstore/,BA - Bahia,Ipira,Nordeste,75991701139,Sim,,Em Contato
Slook Boutique,LBM/LM,,"Colcci, Acostamento, Dimy, GataBakana",https://www.instagram.com/slookboutiqueoficial/,BA - Bahia,Buerarema,Nordeste,73988630224,Sim,,Em Contato
Noa,LM,,"Osklen, Reserva, Pineapple",https://www.instagram.com/noaportoseguro/,BA - Bahia,Porto Seguro,Nordeste,73999474257,Sim,,Em Contato
M e A Modas,LBM,,"Pimenta Doce, Sal e Pimenta, Mafia Brasileira",https://www.instagram.com/ma.modas19/,SP - São Paulo,Sao Bernardo do Campo,Sudeste,11984830807,Sim,,Em Contato
Re Cavalcanti,LBM/LM,,,https://www.instagram.com/ree_cavalcanti/,MG - Minas Gerais,Santa Rita do Sapucai,Sudeste,35988497823,Sim,,Em Contato
Rotta Sport,LBM/LM,,,https://www.instagram.com/rotta_sport/,MG - Minas Gerais,Teofilo Otoni,Centro-Oeste,33991931330,Sim,,Em Contato
Bella's Modas,LBM/LM,,,https://www.instagram.com/bellas_modas/,SP - São Paulo,Sao Paulo,Sudeste,11991889224,Sim,,Em Contato
Ka Modas,LBM,,Maria Gueixa,https://www.instagram.com/kamodas.01/,SP - São Paulo,Sao Paulo,Sudeste,11952500839,Sim,,Em Contato
268 Him & Her,LBM/LM,,"Laça perfume, Myft, Calvin Klein",https://www.instagram.com/usedois68/,AC - Acre,Rio Branco,Norte,68 8421-4197,Sim,,Em Contato
Di Nagila Boutique,LBM/LM,,"Lança perfume, Colcci, Farm, Ellus",https://www.instagram.com/dinagilaboutique/,BA - Bahia,Pocoes,Nordeste,77998133946,Sim,,Em Contato
Lopes Fashion Boutique,LBM,,"Pimenta Doce, Bubu",https://www.instagram.com/boutiquelopesfashion/,SP - São Paulo,Osasco,Sudeste,11958340560,Sim,,Em Contato
Pepela Fitness,LBM,,"Live, Pitbull, Maria Gueixa",https://www.instagram.com/pepela_fitness_praia_casual/,SP - São Paulo,Mogi Guacu,Sudeste,19999664947,Sim,,Em Contato
Frota Fitness,LBM,,,https://www.instagram.com/frota_fitness/,PA - Pará,Santarem,Norte,93991371261,Sim,,Em Contato
HM Multimarcas,LBM/LM,,"Bubu, Pimenta Doce",https://www.instagram.com/_hmmultimarcas_/,SP - São Paulo,Mogi das Cruzes,Sudeste,11996566662,Sim,,Em Contato
BitfitBrasil,LBM,,Lets Gym,https://www.instagram.com/bitfitbrasill/,MS - Mato Grosso do Sul,Deodapolis,Centro-Oeste,67998424609,Sim,,Em Contato
Boutique Rossini,LBM,,Sal e Pimenta,https://www.instagram.com/boutique_rossini/,SP - São Paulo,Sao Paulo,Sudeste,11948455139,Sim,,Em Contato
Cafeína Fitness,LBM/LM,,Let's Gym,https://www.instagram.com/cafeinafitnesscoxipo/,MT - Mato Grosso,Cuiaba,Centro-Oeste,65999097630,Sim,,Em Contato
Duas Concept Store,LBM,,"Lança perfume, Gatabakana",https://www.instagram.com/duasconceptstore/,ES - Espírito Santo,Sao Gabriel da Palha,Sudeste,27996658812,Sim,,Em Contato
Casa Pommern,LBM,,"Lança perfume, Colcci",https://www.instagram.com/lojacasapommern/,ES - Espírito Santo,Santa Maria de Jetiba,Sudeste,27998598103,Sim,,Em Contato
La Xikitita,LBM,,"Lança perfume, Colcci, Live, Flor de Lis, Melissa, Damyller",https://www.instagram.com/la_xikitita/?hl=pt,AL - Alagoas,Palmeira dos Indios,Nordeste,8299072702,Sim,,Em Contato
Mariah Maison,LBM,,"Lança perfume, Morena Rosa, My Place, Myft",https://www.instagram.com/mariahmaison/,PE - Pernambuco,Serra Talhada,Nordeste,87998210408,Sim,,Em Contato
Nordik Fitwear,LBM,,"Lança perfume, Lupo, Hipkini",https://www.instagram.com/nordikfitwear/,PE - Pernambuco,Recife,Nordeste,8196964449,Sim,,Em Contato
Champions Sportwear,LBM/LM,,-,https://www.instagram.com/championssportswear_/,CE - Ceará,Crato,Nordeste,88996240733,Sim,,Em Contato
LB Império Feminino,LBM,,,https://www.instagram.com/lb.imperiofemininoo/,SP - São Paulo,Lencois Paulista,Sudeste,14998435891,Sim,,Em Contato
Use Moda,LBM/LM,,"Lança perfume, Colcci, Reserva, Calvin Klein",https://www.instagram.com/usemodabr/,SE - Sergipe,Simao Dias,Nordeste,7999232746,Sim,,Em Contato
Oliver,LBM/LM,,"Lança perfume, Santa Lolla, Lupo",https://www.instagram.com/olivercalcados/,SE - Sergipe,Itabaianinha,Nordeste,7999207675,Sim,,Em Contato
Morena Chic,LBM,,"Colcci, Bana Bana, Oh Boy",https://www.instagram.com/morena_chic_07/,BA - Bahia,Camamu,Nordeste,73981054867,Sim,,Em Contato
Donnana Moda,LBM,,"Lança perfume, Farm, Charry, Damyller",https://www.instagram.com/donnanaoficial/,RN - Rio Grande do Norte,Cerro Cora,Nordeste,84996446365,Sim,,Em Contato
Carmen Naves,LBM,,"Lança perfume, Morena Rosa",https://www.instagram.com/carmennaves_multimarcas/,GO - Goiás,Caldas Novas,Centro-Oeste,64981288101,Sim,,Em Contato
Menina Chic,LBM,,"Lança perfume, Morena Rosa, Pitbull",https://www.instagram.com/meenina.chic/,BA - Bahia,Itabuna,Nordeste,73989041349,Sim,,Em Contato
Euphoria Boutique,LBM/LM,,Lança perfume,https://www.instagram.com/sdaeuphoria/,PA - Pará,Sao Domingos do Araguaia,Norte,94991373112,Sim,,Em Contato
Karisma Multimarcas,LBM/LM,,"Lança perfume, Acostamento, Flor de Lis",https://www.instagram.com/karismamodaspgt/,GO - Goiás,Porangatu,Centro-Oeste,62984912525,Sim,,Em Contato
Lelac,LBM,,Lança perfume,https://www.instagram.com/uselelac/,GO - Goiás,Anapolis,Centro-Oeste,62985004680,Sim,,Em Contato
Body Up,LBM,,"Lança perfume, Vestem, Lets Gym, Alto Giro",https://www.instagram.com/bodyup.oficial/,GO - Goiás,Rio Verde,Centro-Oeste,6421420286,Sim,,Em Contato
Occasioni Boutique,LBM,,Lança perfume,https://www.instagram.com/occasioni.uba/,MG - Minas Gerais,Uba,Sudeste,32988033018,Sim,,Em Contato
Libert boutique,LBM,,Missbella,https://www.instagram.com/libertboutique/,BA - Bahia,Feira de Santana,Nordeste,75991802861,Sim,,Em Contato
Street,LBM/LM,,"Approve, Levis, Nike, Adidas, New Balance",https://www.instagram.com/loja__street/,BA - Bahia,Caetite,Nordeste,77999119127,Sim,,Com Representante
Hyperion Sport,LBM/LM,,"Live, Alto Giro",https://www.instagram.com/hyperionsport/,MG - Minas Gerais,Vicosa,Centro-Oeste,31985409044,Sim,,Com Representante
Estilo Fitwear Moda,LBM,,Let's Gym,https://www.instagram.com/estilofitwearmoda/,MG - Minas Gerais,Uba,Centro-Oeste,32999034498,Sim,,Com Representante
Dom Ribeiro,LM,,"Acostamento, Levis",https://www.instagram.com/domribeirogrife/,RN - Rio Grande do Norte,Upanema,Nordeste,84996060856,Sim,,Negado
Vida Ativa Moda Fitness,LBM,,"Live, Vestem",https://www.instagram.com/vidaativamodafitness/,MG - Minas Gerais,Sao Joao Del Rei,Sudeste,32999318742,Sim,,Negado
RM Store,LBM,,"Lança perfume, Colcci",https://www.instagram.com/lojasrem/,ES - Espírito Santo,Cariacica,Sudeste,27995775978,Sim,,Negado
Rota Denim,LBM/LM,,"Bana Bana, Flô Maria, Alls Club",https://www.instagram.com/lojarotadenim/,ES - Espírito Santo,Sao Gabriel da Palha,Sudeste,27998308077,Sim,,Negado
La Di Gabi,LBM,,Lança perfume,https://www.instagram.com/ladigabi/,ES - Espírito Santo,Iconha,Sudeste,28999637132,Sim,,Negado
Loja Scorpions,LBM,,Lança perfume,https://www.instagram.com/loja_scorpions/,PB - Paraíba,Soledade,Nordeste,54996967964,Sim,,Negado
M Brand,LBM,,-,https://www.instagram.com/_mbrands/,CE - Ceará,Sobral,Nordeste,8893358019,Sim,,Negado
Nica Mania Modas,LBM/LM,,Lança perfume,https://www.instagram.com/nica_mania/,PE - Pernambuco,Brejo da Madre de Deus,Nordeste,8137471465,Sim,,Negado
Oplen,LBM/LM,,"Lança perfume, Colcci, Acostamento, Lez a Lez",https://www.instagram.com/oplenvitoria/?hl=pt,PE - Pernambuco,Vitoria de Santo Antao,Nordeste,8135233311,Sim,,Negado
Drops,LBM,,Lança perfume,https://www.instagram.com/dropsamor/?hl=pt,PE - Pernambuco,Caruaru,Nordeste,81992134000,Sim,,Negado
Charme Boutique,LBM,,"Lança perfume, Colcci",https://www.instagram.com/charmeboutique_loja/,PA - Pará,Pacaja,Norte,91991611429,Sim,,Negado
Fernanda Showroom,LBM,,"Lança perfume, Farm",https://www.instagram.com/fernandashowroom/,GO - Goiás,Goianesia,Centro-Oeste,6233532401,Sim,,Negado
Loja Enimeire Lopes,LBM,,"Lança perfume, Schutz, Morena Rosa",https://www.instagram.com/enimeire_lopes/,GO - Goiás,Porangatu,Centro-Oeste,6283271156,Sim,,Negado
Sumário Multimarcas,LBM,,"Lança perfume, Open, L'Cecci, Viber",https://www.instagram.com/lojasumario/?hl=pt,GO - Goiás,Anapolis,Centro-Oeste,62999026777,Sim,,Negado
Aparatto,LBM/LM,,"Schutz, Vans, Reserva",https://www.instagram.com/aparattooficial/,GO - Goiás,Anapolis,Centro-Oeste,62999009964,Sim,,Negado
Linda Manu,LBM/LM,,"Lança perfume, Colcci, Calvin Klein, Arezzo",https://www.instagram.com/lojalindamanu/,PB - Paraíba,Soledade,Nordeste,8333831634,Sim,,Negado
Armando Calçados,LBM,,"Lança perfume, Melissa",https://www.instagram.com/armando__calcados/,PB - Paraíba,Itabaiana,Nordeste,8399323434,Sim,,Negado
Mister Moda,LM,,The Hope,https://www.instagram.com/mistermodafloripa/,SC - Santa Catarina,Florianopolis,Sul,48996117908,Sim,,Negado
Empório Brasil,LBM,,"Morena Rosa, Zinco",https://www.instagram.com/emporiobrasil/,RR - Roraima,Boa Vista,Norte,9532248256,Sim,,Negado
Luxus Multimarcas,LBM,,"Morena Rosa, Lança perfume, Ellus, Arezzo",https://www.instagram.com/luxusgl/,MS - Mato Grosso do Sul,Gloria de Dourados,Centro-Oeste,67998259796,Sim,,Negado
Pérola Boutique,LBM/LM,,Lança perfume,https://www.instagram.com/oficial.perolaboutique/,RJ - Rio de Janeiro,Duque de Caxias,Sudeste,21999398792,Sim,,Negado
Dlu modas,LBM/LM,,"Lança perfume, Colcci",https://www.instagram.com/dlumodas/,PB - Paraíba,Guarabira,Nordeste,83991566597,Sim,,Negado
Josy Pantoja,LBM,,,https://www.instagram.com/jp_store_5/,PA - Pará,Belem,Norte,91983269485,Sim,,Negado
Menina Bonita,LBM/LM,,"Colcci, Sommer, Melissa, Naguchi",https://www.instagram.com/lojameninabonitaa/,DF - Distrito Federal,Brasilia,Centro-Oeste,61986649930,Sim,,Negado
Marlene Modas,LBM/LM,,,https://www.instagram.com/marlene_modas_cb/,MG - Minas Gerais,Campo Belo,Centro-Oeste,35999150782,Sim,,Negado
Atrativa Modas,LBM,,"Morena Rosa, Dimy, GataBakana",https://www.instagram.com/boutiqueatrativa/,BA - Bahia,Cacule,Nordeste,,Sim,,Negado
DMK Duo,LBM/LM,,"Reserva, Osklen, Ellus, John John, Lacoste, Calvin Klein",https://www.instagram.com/dmkduo/,BA - Bahia,Vitoria da Conquista,Nordeste,7734201102,Sim,,Negado
Planeta Chronic,LBM/LM,,,https://www.instagram.com/planetachronic/,BA - Bahia,Jequie,Nordeste,73988707137,Sim,,Negado
Filadélfia,LBM/LM,,,https://www.instagram.com/filadelfiahome/,SE - Sergipe,Aracaju,Nordeste,79991998850,Sim,,Negado
Armazém Carioca Store,LBM/LM,,"Calvin Klein, John John, Osklen, Reserva, King&Joe",https://www.instagram.com/armazemcariocastore/,BA - Bahia,Ilheus,Nordeste,73988837555,Sim,,Negado
Wod Fit Store,LBM/LM,,"Colcci, Live",https://www.instagram.com/wodfit_store/,MG - Minas Gerais,Ipatinga,Centro-Oeste,31986598554,Sim,,Negado
Vivifit Moda Fitness,LBM,,Live,https://www.instagram.com/vivifit_oficial/,RN - Rio Grande do Norte,Parnamirim,Nordeste,84999243382,Sim,,Negado
Verissima Beachwear,LBM,,,https://www.instagram.com/verissimabeachwear/,BA - Bahia,Cairu,Nordeste,75991221783,Sim,,Negado
Coisa de Menina,LBM,,"Bubu, Schutz",https://www.instagram.com/coisademenina_boutique/,SC - Santa Catarina,Joinville,Sul,41996988453,Sim,,Negado
Chic Store,LM,,"Buh, Nike, Lacapa",https://www.instagram.com/chic_storetc/,MG - Minas Gerais,Tres Coracoes,Sudeste,3588599899,Sim,,Negado
Lojinha da Jamila,LBM,,Lets Gym,https://www.instagram.com/lojinhadajamila/,PA - Pará,Parauapebas,Norte,94981887716,Sim,,Negado
Fitness Store,LBM,,"Vestem, LetsGym",https://www.instagram.com/fitness_storepgm/,PA - Pará,Nova Esperanca do Piria,Norte,91984110734,Sim,,Negado
Atrevida Moda Fitness,LBM,,Vestem,https://www.instagram.com/atrevida_modafitnes/,BA - Bahia,Luis Eduardo Magalhaes,Nordeste,77998549916,Sim,,Negado
Habyto,LBM/LM,,Colcci,https://www.instagram.com/habyto/,SE - Sergipe,Lagarto,Nordeste,7936311713,Sim,,Negado
Titana Fashion,LBM,,"Lança perfume, Colcci",https://www.instagram.com/titana_fashion/,MS - Mato Grosso do Sul,Dourados,Centro-Oeste,67996512041,Sim,,Negado
Lua e Sol Multimarcas,LBM/LM,,"Lança perfume, Farm, Dress To, Calvin Klein, Osklen, Open",https://www.instagram.com/luaesolmultimarcas/,GO - Goiás,Itumbiara,Centro-Oeste,64981398668,Sim,,Negado
